movie_name, studio, release_date
"Black Panther","BV",2018-02-16
"Avengers: Infinity War","BV",2018-04-27
"Incredibles 2","BV",2018-06-15
"Jurassic World: Fallen Kingdom","Universal",2018-06-22
"Deadpool 2","Fox",2018-05-18
"Dr. Seuss' The Grinch (2018)","Universal",2018-09-11
