District.Code,School.Code,County.Code,County.Name,District.Name,School.Name,City,Zip.Code,School.Type,Type.Label,Math,Reading.and.Writing,Average.Total.Score,Median.HH.Income
1990,070,27,MORRIS,HANOVER PARK REGIONAL,WHIPPANY PARK HIGH SCHOOL,East Hanover,7936,Public,3,590,596,1186,121769
2060,050,17,HUDSON,HARRISON TOWN,HARRISON HIGH SCHOOL,Harrison,7029,Public,3,502,504,1006,61168
2080,050,3,BERGEN,HASBROUCK HEIGHTS BOROUGH,HASBROUCK HEIGHTS HIGH SCHOOL,Hasbrouck Heights,7604,Public,3,548,558,1106,86993
2100,050,31,PASSAIC,HAWTHORNE BOROUGH,HAWTHORNE HIGH SCHOOL,Hawthorne,7506,Public,3,508,526,1034,93675
2105,050,25,MONMOUTH,HAZLET TOWNSHIP,RARITAN HIGH SCHOOL,Hazlet,7730,Public,3,540,554,1094,94657
2120,050,25,MONMOUTH,HENRY HUDSON REGIONAL,HENRY HUDSON REGIONAL SCHOOL,Highlands,7732,Public,3,547,563,1110,60817
2165,030,37,SUSSEX,HIGH POINT REGIONAL,HIGH POINT REGIONAL HIGH SCHOOL,SUSSEX,7461,Public,3,551,562,1113,84676
2150,050,23,MIDDLESEX,HIGHLAND PARK BOROUGH,HIGHLAND PARK HIGH SCHOOL,HIGHLAND PARK,8904,Public,3,580,602,1182,75913
2170,030,35,SOMERSET,HILLSBOROUGHUGH TOWNSHIP,HILLSBOROUGH HIGH SCHOOL,Hillsborough,8844,Public,3,618,601,1219,120173
2190,050,39,UNION,HILLSIDE TOWNSHIP,HILLSIDE HIGH SCHOOL,Hillside,7205,Public,3,472,481,953,65717
6720,930,3,BERGEN,HOBOKEN CHARTER SCHOOL,HOBOKEN CHARTER SCHOOL,Hoboken,7030,Charter,1,466,448,914,127523
2210,005,17,HUDSON,HOBOKEN CITY,HOBOKEN HIGH SCHOOL,Hoboken,7030,Public,3,465,470,935,127523
2230,020,25,MONMOUTH,HOLMDEL TOWNSHIP,HOLMDEL HIGH SCHOOL,Holmdel,7733,Public,3,611,601,1212,155842
2240,030,37,SUSSEX,HOPATCONG,HOPATCONG HIGH SCHOOL,Hopatcong,7843,Public,3,526,550,1076,78694
2280,030,21,MERCER,HOPEWELL VALLEY REGIONAL,HOPEWELL VALLEY CENTRAL HIGH SCHOOL,Pennington,8534,Public,3,627,631,1258,127458
2295,030,17,HUDSON,HUDSON COUNTY VOCATIONAL,COUNTY PREP HIGH SCHOOL,Secaucus,7094,Vocational,2,548,542,1090,99883
2295,050,17,HUDSON,HUDSON COUNTY VOCATIONAL,HIGH TECH HIGH SCHOOL,Secaucus,7094,Vocational,2,595,597,1192,99883
2300,050,19,HUNTERDON,HUNTERDON CENTRAL REG,HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT,Flemington,8822,Public,3,604,598,1202,107215
2330,050,13,ESSEX,IRVINGTON TOWNSHIP,IRVINGTON HIGH SCHOOL,IRVINGTON,7111,Public,3,418,429,847,39734
2360,025,29,OCEAN,JACKSON TOWNSHIP,JACKSON LIBERTY HIGH SCHOOL,Jackson,8527,Public,3,550,559,1109,88063
2360,020,29,OCEAN,JACKSON TOWNSHIP,JACKSON MEMORIAL HIGH SCHOOL,Jackson,8527,Public,3,577,566,1143,88063
2380,020,27,MORRIS,JEFFERSON TOWNSHIP,JEFFERSON TOWNSHIP HIGH SCHOOL,Lake Hopatcong,7849,Public,3,547,546,1093,97440
