Date,Case_Shiller_Index,ITB_Close,XHB_Close,REZ_Close
2/1/2014,162.575,25.780468,32.746883,41.366329
3/1/2014,163.138,23.750586,31.322685,41.275612
4/1/2014,163.441,22.95388,29.862839,43.496407
5/1/2014,163.696,23.581949,30.3445,44.395477
6/1/2014,164.067,24.337595,31.548635,44.395477
7/1/2014,164.54,21.813934,28.420534,45.077324
8/1/2014,165.221,23.640762,30.436794,46.588852
9/1/2014,165.919,22.08894,28.545952,42.935986
10/1/2014,166.666,23.662167,30.085606,48.435081
11/1/2014,167.367,25.510309,32.347095,49.570145
12/1/2014,168.09,25.441498,32.975288,49.900505
1/1/2015,168.701,24.939188,33.266964,54.409367
2/1/2015,169.224,27.202808,35.255798,52.309155
3/1/2015,169.889,27.783476,35.760281,53.060452
4/1/2015,170.38,25.530123,33.606304,50.694355
5/1/2015,170.94,26.219591,34.907818,50.780403
6/1/2015,171.471,27.037113,35.568283,48.20739
7/1/2015,172.035,28.025642,36.534821,52.096222
8/1/2015,172.947,27.345455,35.22237,49.51746
9/1/2015,173.86,25.728781,33.277992,51.479752
10/1/2015,174.847,26.82299,34.778042,52.812199
11/1/2015,175.834,28.174498,35.37162,53.907162
12/1/2015,176.648,26.734209,33.260025,55.580254
1/1/2016,177.405,24.02615,29.750893,54.230686
2/1/2016,177.817,24.184153,30.09207,53.348026
3/1/2016,178.315,26.741804,32.987221,58.237976
4/1/2016,178.907,26.291643,32.863533,56.193932
5/1/2016,179.53,27.280424,33.371235,58.274185
6/1/2016,180.093,27.33975,32.746372,60.524818
7/1/2016,180.683,28.654316,35.280052,62.090157
8/1/2016,181.881,28.743399,35.338718,59.874279
9/1/2016,182.887,27.268618,33.187496,59.259247
10/1/2016,183.847,25.539812,30.964945,57.031967
11/1/2016,184.924,27.114998,33.148743,54.32354
12/1/2016,185.905,27.223974,33.148743,56.548645
1/1/2017,187.04,28.682167,33.857899,56.759846
2/1/2017,187.643,30.219419,35.349609,60.187977
3/1/2017,188.328,31.716999,36.53709,58.827908
4/1/2017,189.057,32.09753,37.171577,59.777859
5/1/2017,189.859,32.176949,36.856983,60.633041
6/1/2017,190.577,33.695953,37.879421,61.149906
7/1/2017,191.242,33.657375,37.775669,61.756496
8/1/2017,192.73,33.875999,37.608215,61.595322
9/1/2017,193.879,36.310619,39.223656,60.287003
10/1/2017,194.969,39.546383,40.814053,60.17881
11/1/2017,196.218,42.619781,43.251446,60.876896
12/1/2017,197.449,43.485111,43.67577,59.518978
1/1/2018,198.678,42.649628,44.2673,56.782784
2/1/2018,199.733,38.104176,40.102715,52.839798
3/1/2018,200.579,39.27784,40.350018,55.577709
4/1/2018,201.33,38.269203,38.616386,56.536751
5/1/2018,201.942,38.318996,38.933567,58.990635
6/1/2018,202.465,37.990376,39.201187,61.395836
7/1/2018,202.729,37.757828,39.361774,61.777794
8/1/2018,203.835,37.598301,39.759167,64.136482
9/1/2018,204.612,35.235321,38.189465,61.807278
10/1/2018,205.622,31.112543,33.845276,62.160995
